fy_decision_date,ukri_council,grant_category,reference,organisation
2016-17,BBSRC,Research and Innovation Grant,BB/P001912/1,The University of Liverpool
2016-17,BBSRC,Research and Innovation Grant,BB/P001947/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/P002005/1,The University of Sheffield
2016-17,BBSRC,Research and Innovation Grant,BB/P002005/1,The University of Sheffield
2016-17,BBSRC,Research and Innovation Grant,BB/P002080/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/P002145/1,The University of Warwick
2016-17,BBSRC,Research and Innovation Grant,BB/P002145/1,University of Ulm
2016-17,BBSRC,Research and Innovation Grant,BB/P002153/1,The University of Manchester
2016-17,BBSRC,Research and Innovation Grant,BB/P00220X/1,The University of Glasgow
2016-17,BBSRC,Research and Innovation Grant,BB/P00220X/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/P00220X/1,The University of Glasgow
2016-17,BBSRC,Research and Innovation Grant,BB/P00220X/1,The University of Strathclyde
2016-17,BBSRC,Research and Innovation Grant,BB/P002293/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/P002293/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/P002307/1,Cardiff University
2016-17,BBSRC,Research and Innovation Grant,BB/P002307/1,Cardiff University
2016-17,BBSRC,Research and Innovation Grant,BB/P002307/1,Cardiff University
2016-17,BBSRC,Research and Innovation Grant,BB/P002366/1,The University of Exeter
2016-17,BBSRC,Research and Innovation Grant,BB/P002390/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/P002390/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/P002404/1,The University of Aberdeen
2016-17,BBSRC,Research and Innovation Grant,BB/P002455/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/P002536/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/P002536/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/P002560/1,The University of Warwick
2016-17,BBSRC,Research and Innovation Grant,BB/P002560/1,The University of Warwick
2016-17,BBSRC,Research and Innovation Grant,BB/P002579/1,Queen Mary University of London
2016-17,BBSRC,Research and Innovation Grant,BB/P002692/1,The University of Leicester
2016-17,BBSRC,Research and Innovation Grant,BB/P002757/1,The Animal Health Trust
2016-17,BBSRC,Research and Innovation Grant,BB/P002757/1,The Animal Health Trust
2016-17,BBSRC,Research and Innovation Grant,BB/P002927/1,The University of Sheffield
2016-17,BBSRC,Research and Innovation Grant,BB/P002927/1,The University of Manchester
2016-17,BBSRC,Research and Innovation Grant,BB/P002927/1,The University of Sheffield
2016-17,BBSRC,Research and Innovation Grant,BB/P002927/1,The University of Sheffield
2016-17,BBSRC,Research and Innovation Grant,BB/P00296X/1,The University of Oxford
2016-17,BBSRC,Research and Innovation Grant,BB/P003095/1,John Innes Centre
2016-17,BBSRC,Research and Innovation Grant,BB/P003095/1,Aberystwyth University
2016-17,BBSRC,Research and Innovation Grant,BB/P003095/1,John Innes Centre
2016-17,BBSRC,Research and Innovation Grant,BB/P003095/1,John Innes Centre
2016-17,BBSRC,Research and Innovation Grant,BB/P003095/1,John Innes Centre
2016-17,BBSRC,Research and Innovation Grant,BB/P003095/1,John Innes Centre
2016-17,BBSRC,Research and Innovation Grant,BB/P003095/1,National Inst of Agricultural Botany
2016-17,BBSRC,Research and Innovation Grant,BB/P003095/1,Rothamsted Research
2016-17,BBSRC,Research and Innovation Grant,BB/P003095/1,Rothamsted Research
2016-17,BBSRC,Research and Innovation Grant,BB/P003095/1,The University of Bath
2016-17,BBSRC,Research and Innovation Grant,BB/P003095/1,The University of Warwick
2016-17,BBSRC,Research and Innovation Grant,BB/P003095/1,The University of York
2016-17,BBSRC,Research and Innovation Grant,BB/P003095/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/P003095/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/P003095/1,University of Nottingham
2016-17,BBSRC,Research and Innovation Grant,BB/P003117/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/P003117/1,Royal Holloway and Bedford New College
2016-17,BBSRC,Research and Innovation Grant,BB/P003117/1,The University of Oxford
2016-17,BBSRC,Research and Innovation Grant,BB/P003117/1,The University of Oxford
2016-17,BBSRC,Research and Innovation Grant,BB/P003176/1,National Inst of Agricultural Botany
2016-17,BBSRC,Research and Innovation Grant,BB/P003184/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/P003184/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/P003192/1,Newcastle University
2016-17,BBSRC,Research and Innovation Grant,BB/P003192/1,Newcastle University
2016-17,BBSRC,Research and Innovation Grant,BB/P003249/1,Newcastle University
2016-17,BBSRC,Research and Innovation Grant,BB/P003249/1,Newcastle University
2016-17,BBSRC,Research and Innovation Grant,BB/P003273/1,University College London
2016-17,BBSRC,Research and Innovation Grant,BB/P003281/1,The University of Glasgow
2016-17,BBSRC,Research and Innovation Grant,BB/P003419/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/P003419/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/P003427/1,The University of Oxford
2016-17,BBSRC,Research and Innovation Grant,BB/P003427/1,The University of Oxford
2016-17,BBSRC,Research and Innovation Grant,BB/P003427/1,Ulster University
2016-17,BBSRC,Research and Innovation Grant,BB/P003435/1,The Royal Veterinary College
2016-17,BBSRC,Research and Innovation Grant,BB/P003508/1,The University of Southampton
2016-17,BBSRC,Research and Innovation Grant,BB/P003575/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/P003575/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/P003575/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/P003656/1,University of Durham
2016-17,BBSRC,Research and Innovation Grant,BB/P003664/1,The University of Reading
2016-17,BBSRC,Research and Innovation Grant,BB/P003664/1,The University of Reading
2016-17,BBSRC,Research and Innovation Grant,BB/P003745/1,University College London
2016-17,BBSRC,Research and Innovation Grant,BB/P003745/1,Queen Mary University of London
2016-17,BBSRC,Research and Innovation Grant,BB/P003796/1,The University of Oxford
2016-17,BBSRC,Research and Innovation Grant,BB/P003796/1,The University of Glasgow
2016-17,BBSRC,Research and Innovation Grant,BB/P003796/1,The University of Oxford
2016-17,BBSRC,Research and Innovation Grant,BB/P00380X/1,The University of Aberdeen
2016-17,BBSRC,Research and Innovation Grant,BB/P00380X/1,The University of Aberdeen
2016-17,BBSRC,Research and Innovation Grant,BB/P003818/1,University College London
2016-17,BBSRC,Research and Innovation Grant,BB/P003923/1,Marine Biological Association
2016-17,BBSRC,Research and Innovation Grant,BB/P003923/1,Marine Biological Association
2016-17,BBSRC,Research and Innovation Grant,BB/P003931/1,The Royal Veterinary College
2016-17,BBSRC,Research and Innovation Grant,BB/P003931/1,The Royal Veterinary College
2016-17,BBSRC,Research and Innovation Grant,BB/P003931/1,The Royal Veterinary College
2016-17,BBSRC,Research and Innovation Grant,BB/P003958/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/P003958/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/P003958/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/P003966/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/P003966/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/P003966/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/P003966/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/P003982/1,The University of Dundee
2016-17,BBSRC,Research and Innovation Grant,BB/P004040/1,Queen's University Belfast
2016-17,BBSRC,Research and Innovation Grant,BB/P004180/1,The University of Southampton
2016-17,BBSRC,Research and Innovation Grant,BB/P004202/1,The University of Glasgow
2016-17,BBSRC,Research and Innovation Grant,BB/P004202/1,The University of Glasgow
2016-17,BBSRC,Research and Innovation Grant,BB/P004202/1,The University of Glasgow
2016-17,BBSRC,Research and Innovation Grant,BB/P004210/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/P004237/1,The University of Manchester
2016-17,BBSRC,Research and Innovation Grant,BB/P004245/1,University College London
2016-17,BBSRC,Research and Innovation Grant,BB/P004431/1,NERC British Geological Survey
2016-17,BBSRC,Research and Innovation Grant,BB/P004458/1,SRUC
2016-17,BBSRC,Research and Innovation Grant,BB/P004458/1,SRUC
2016-17,BBSRC,Research and Innovation Grant,BB/P004458/1,SRUC
2016-17,BBSRC,Research and Innovation Grant,BB/P004458/1,SRUC
2016-17,BBSRC,Research and Innovation Grant,BB/P004474/1,John Innes Centre
2016-17,BBSRC,Research and Innovation Grant,BB/P004539/1,Bangor University
2016-17,BBSRC,Research and Innovation Grant,BB/P004539/1,Bangor University
2016-17,BBSRC,Research and Innovation Grant,BB/P004539/1,Bangor University
2016-17,BBSRC,Research and Innovation Grant,BB/P004539/1,Bangor University
2016-17,BBSRC,Research and Innovation Grant,BB/P004555/1,The University of Lancaster
2016-17,BBSRC,Research and Innovation Grant,BB/P004555/1,The University of Birmingham
2016-17,BBSRC,Research and Innovation Grant,BB/P004555/1,The University of Birmingham
2016-17,BBSRC,Research and Innovation Grant,BB/P004555/1,The University of Lancaster
2016-17,BBSRC,Research and Innovation Grant,BB/P004628/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/P004628/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/P004679/1,Rothamsted Research
2016-17,BBSRC,Research and Innovation Grant,BB/P004687/1,Rothamsted Research
2016-17,BBSRC,Research and Innovation Grant,BB/P004725/1,"University of the West of England, Bristol"
2016-17,BBSRC,Research and Innovation Grant,BB/P004725/1,"University of the West of England, Bristol"
2016-17,BBSRC,Research and Innovation Grant,BB/P004741/1,The University of Oxford
2016-17,BBSRC,Research and Innovation Grant,BB/P004806/1,The University of Aberdeen
2016-17,BBSRC,Research and Innovation Grant,BB/P004806/1,The University of Aberdeen
2016-17,BBSRC,Research and Innovation Grant,BB/P004806/1,The University of Aberdeen
2016-17,BBSRC,Research and Innovation Grant,BB/P004806/1,University of Durham
2016-17,BBSRC,Research and Innovation Grant,BB/P004849/1,Aberystwyth University
2016-17,BBSRC,Research and Innovation Grant,BB/P004849/1,Aberystwyth University
2016-17,BBSRC,Research and Innovation Grant,BB/P004849/1,Aberystwyth University
2016-17,BBSRC,Research and Innovation Grant,BB/P004857/1,John Innes Centre
2016-17,BBSRC,Research and Innovation Grant,BB/P004857/1,Earlham Institute
2016-17,BBSRC,Research and Innovation Grant,BB/P004857/1,The Natural History Museum
2016-17,BBSRC,Research and Innovation Grant,BB/P005063/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/P005179/1,"Imperial College of Science, Technology and Medicine"
2016-17,BBSRC,Research and Innovation Grant,BB/P005187/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/P005187/1,The Francis Crick Institute
2016-17,BBSRC,Research and Innovation Grant,BB/P005187/1,University of Suffolk
2016-17,BBSRC,Research and Innovation Grant,BB/P005209/1,The University of Warwick
2016-17,BBSRC,Research and Innovation Grant,BB/P005225/1,The University of Southampton
2016-17,BBSRC,Research and Innovation Grant,BB/P005276/1,Royal Botanic Gardens Kew
2016-17,BBSRC,Research and Innovation Grant,BB/P005292/1,The University of East Anglia
2016-17,BBSRC,Research and Innovation Grant,BB/P005330/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/P00542X/1,London School of Hygiene and Tropical Medicine
2016-17,BBSRC,Research and Innovation Grant,BB/P005454/1,The University of Leeds
2016-17,BBSRC,Research and Innovation Grant,BB/P005454/1,The University of Leeds
2016-17,BBSRC,Research and Innovation Grant,BB/P005489/1,Aberystwyth University
2016-17,BBSRC,Research and Innovation Grant,BB/P005489/1,The University of Birmingham
2016-17,BBSRC,Fellowship,BB/P005535/1,University College London
2016-17,BBSRC,Fellowship,BB/P00556X/1,The University of Sheffield
2016-17,BBSRC,Research and Innovation Grant,BB/P005578/1,The University of York
2016-17,BBSRC,Research and Innovation Grant,BB/P005578/1,The University of York
2016-17,BBSRC,Research and Innovation Grant,BB/P005594/1,The University of Manchester
2016-17,BBSRC,Research and Innovation Grant,BB/P005594/1,The University of Manchester
2016-17,BBSRC,Research and Innovation Grant,BB/P005594/1,The University of Manchester
2016-17,BBSRC,Research and Innovation Grant,BB/P005616/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/P005616/1,King's College London
2016-17,BBSRC,Research and Innovation Grant,BB/P005659/1,"Imperial College of Science, Technology and Medicine"
2016-17,BBSRC,Research and Innovation Grant,BB/P005659/1,"Imperial College of Science, Technology and Medicine"
2016-17,BBSRC,Research and Innovation Grant,BB/P005691/1,The University of Oxford
2016-17,BBSRC,Research and Innovation Grant,BB/P005705/1,"University of the West of England, Bristol"
2016-17,BBSRC,Research and Innovation Grant,BB/P005713/1,The University of York
2016-17,BBSRC,Research and Innovation Grant,BB/P005888/1,Liverpool School of Tropical Medicine
2016-17,BBSRC,Research and Innovation Grant,BB/P006027/1,University College London
2016-17,BBSRC,Research and Innovation Grant,BB/P006078/1,Queen's University Belfast
2016-17,BBSRC,Research and Innovation Grant,BB/P006078/1,Queen's University Belfast
2016-17,BBSRC,Research and Innovation Grant,BB/P006078/1,Queen's University Belfast
2016-17,BBSRC,Research and Innovation Grant,BB/P006108/1,Queen Mary University of London
2016-17,BBSRC,Research and Innovation Grant,BB/P006108/1,Queen Mary University of London
2016-17,BBSRC,Research and Innovation Grant,BB/P006140/1,The University of East Anglia
2016-17,BBSRC,Research and Innovation Grant,BB/P006167/1,The Royal Veterinary College
2016-17,BBSRC,Research and Innovation Grant,BB/P006175/1,The University of Cambridge
2016-17,BBSRC,Research and Innovation Grant,BB/P006205/1,Oxford Brookes University
2016-17,BBSRC,Research and Innovation Grant,BB/P006272/1,National Inst of Agricultural Botany
2016-17,BBSRC,Research and Innovation Grant,BB/P006272/1,"Imperial College of Science, Technology and Medicine"
2016-17,BBSRC,Research and Innovation Grant,BB/P006272/1,National Inst of Agricultural Botany
2016-17,BBSRC,Research and Innovation Grant,BB/P006272/1,The University of Birmingham
2016-17,BBSRC,Research and Innovation Grant,BB/P006493/1,University College London
2016-17,BBSRC,Research and Innovation Grant,BB/P006507/1,The University of Edinburgh
2016-17,BBSRC,Research and Innovation Grant,BB/P006590/1,John Innes Centre
